newtimestamp,Current Time(seconds),Nox,Nox(target)
09/07/19 12:00,0,21.4,23.8
09/07/19 12:15,0,23.8,24.8
9/7/19 12:30,75,24.8,27
9/7/19 12:45,82,27,19
9/7/19 13:00,82,19,17.8
9/7/19 13:15,66,17.8,21.1
9/7/19 13:30,61,21.1,20.9
9/7/19 13:45,68,20.9,20.9
9/7/19 14:00,59,20.9,19.9
9/7/19 14:15,41,19.9,21.8
9/7/19 14:30,110,21.8,24.6
9/7/19 14:45,118,24.6,26.6
9/7/19 15:00,103,26.6,17.1
9/7/19 15:15,165,17.1,21
9/7/19 15:30,206,21,23.5
9/7/19 15:45,183,23.5,22.6
9/7/19 16:00,206,22.6,24.1
9/7/19 16:15,110,24.1,25.7
9/7/19 16:30,97,25.7,23.6
9/7/19 16:45,41,23.6,26.5
9/7/19 17:00,63,26.5,28.8
9/7/19 17:15,75,28.8,28.5
9/7/19 17:30,103,28.5,25
9/7/19 17:45,75,25,30.1
9/7/19 18:00,61,30.1,33.8
9/7/19 18:15,71,33.8,41.1
9/7/19 18:30,63,41.1,50
9/7/19 18:45,78,50,54.4
9/7/19 19:00,59,54.4,60.7
9/7/19 19:15,41,60.7,62.4
9/7/19 19:30,53,62.4,75.1
9/7/19 19:45,78,75.1,79.4
9/7/19 20:00,63,79.4,85.4
9/7/19 20:15,75,85.4,88.8
9/7/19 20:30,78,88.8,87.9
9/7/19 20:45,66,87.9,90.5
9/7/19 21:00,41,90.5,98.2
9/7/19 21:15,59,98.2,105.4
9/7/19 21:30,41,105.4,113
9/7/19 21:45,71,113,117.8
9/7/19 22:00,91,117.8,124.3
9/7/19 22:15,59,124.3,129.1
9/7/19 22:30,42,129.1,132.1
9/7/19 22:45,42,132.1,127
9/7/19 23:00,42,127,104.2
9/7/19 23:15,42,104.2,81.8
9/7/19 23:30,42,81.8,75.8
9/7/19 23:45,42,75.8,72.9
9/7/19 0:00,41,72.9,67.6
9/7/19 0:15,41,67.6,56.3
9/7/19 0:30,41,56.3,48.5
9/7/19 0:45,41,48.5,38
9/7/19 1:00,41,38,39.3
9/7/19 1:15,41,39.3,41.4
9/7/19 1:30,41,41.4,41.5
9/7/19 1:45,41,41.5,NaN
9/7/19 2:00,41,NaN,NaN
9/7/19 2:15,41,NaN,33.3
9/7/19 2:30,41,33.3,37.1
9/7/19 2:45,41,37.1,39.1
9/7/19 3:00,41,39.1,38.8
9/7/19 3:15,41,38.8,36.6
9/7/19 3:30,41,36.6,34.2
9/7/19 3:45,41,34.2,32.9
9/7/19 4:00,41,32.9,32.5
9/7/19 4:15,41,32.5,32.8
9/7/19 4:30,41,32.8,35.8
9/7/19 4:45,41,35.8,39.9
9/7/19 5:00,41,39.9,34.5
9/7/19 5:15,41,34.5,32.3
9/7/19 5:30,41,32.3,32.2
9/7/19 5:45,41,32.2,32.3
9/7/19 6:00,41,32.3,31.9
9/7/19 6:15,41,31.9,33.1
9/7/19 6:30,41,33.1,32.1
9/7/19 6:45,41,32.1,33.1
9/7/19 7:00,41,33.1,37.8
9/7/19 7:15,41,37.8,54.1
9/7/19 7:30,41,54.1,50.5
9/7/19 7:45,41,50.5,51.1
9/7/19 8:00,41,51.1,50.8
9/7/19 8:15,41,50.8,41.1
9/7/19 8:30,41,41.1,31.8
9/7/19 8:45,42,31.8,28.4
9/7/19 9:00,55,28.4,35.1
09/07/19 9:15,0,35.1,35.7
09/07/19 9:30,0,35.7,37.5
09/07/19 9:45,0,37.5,46.7
09/07/19 10:00,0,46.7,40.7
09/07/19 10:15,0,40.7,43.8
09/07/19 10:30,0,43.8,37.2
09/07/19 10:45,0,37.2,35.9
09/07/19 11:00,0,35.9,35.3
09/07/19 11:15,0,35.3,30.4
09/07/19 11:30,0,30.4,31.6
09/07/19 11:45,0,31.6,32.4
09/07/19 12:00,0,32.4,26.7
09/07/19 12:15,0,26.7,21.5
9/7/19 12:30,75,21.5,25.3
9/7/19 12:45,82,25.3,29.9
9/7/19 13:00,82,29.9,21.6
9/7/19 13:15,66,21.6,21.1
9/7/19 13:30,61,21.1,22.6
9/7/19 13:45,68,22.6,21.7
9/7/19 14:00,59,21.7,21.3
